# loss,acc,val_loss,val_acc
2.727300000000000058e+00,1.332000000000000128e-01,2.167699999999999960e+00,2.129999999999999949e-01
2.027299999999999880e+00,2.452999999999999903e-01,1.935300000000000020e+00,3.022000000000000242e-01
1.860400000000000054e+00,3.027000000000000246e-01,1.827900000000000080e+00,3.393999999999999795e-01
1.779900000000000038e+00,3.356999999999999984e-01,1.724099999999999966e+00,3.657000000000000250e-01
1.718399999999999928e+00,3.610999999999999766e-01,1.670800000000000063e+00,3.911000000000000032e-01
1.673999999999999932e+00,3.805999999999999939e-01,1.624900000000000011e+00,4.083999999999999853e-01
1.634300000000000086e+00,4.007000000000000006e-01,1.588000000000000078e+00,4.294000000000000039e-01
1.595099999999999962e+00,4.166000000000000258e-01,1.543600000000000083e+00,4.370999999999999885e-01
1.578899999999999970e+00,4.264000000000000012e-01,1.507500000000000062e+00,4.556999999999999940e-01
1.534299999999999997e+00,4.445000000000000062e-01,1.512799999999999923e+00,4.535000000000000142e-01
1.505600000000000049e+00,4.534000000000000252e-01,1.522499999999999964e+00,4.516999999999999904e-01
1.477899999999999991e+00,4.662999999999999923e-01,1.423699999999999966e+00,4.848000000000000087e-01
1.453400000000000025e+00,4.747999999999999998e-01,1.404700000000000060e+00,4.960999999999999854e-01
1.431899999999999951e+00,4.848000000000000087e-01,1.377999999999999892e+00,5.091999999999999860e-01
1.406500000000000083e+00,4.964000000000000079e-01,1.370800000000000018e+00,5.103999999999999648e-01
1.392099999999999893e+00,5.016000000000000458e-01,1.342000000000000082e+00,5.200000000000000178e-01
1.376700000000000035e+00,5.064999999999999503e-01,1.316799999999999971e+00,5.301000000000000156e-01
1.353499999999999925e+00,5.141999999999999904e-01,1.307399999999999896e+00,5.372000000000000108e-01
1.335700000000000109e+00,5.252999999999999892e-01,1.277700000000000058e+00,5.453000000000000069e-01
1.328799999999999981e+00,5.234999999999999654e-01,1.310400000000000009e+00,5.290000000000000258e-01
1.320100000000000051e+00,5.284999999999999698e-01,1.265099999999999891e+00,5.479000000000000536e-01
1.302300000000000013e+00,5.340000000000000302e-01,1.237500000000000044e+00,5.584000000000000075e-01
1.286100000000000021e+00,5.426999999999999602e-01,1.260599999999999943e+00,5.481000000000000316e-01
1.274499999999999966e+00,5.436999999999999611e-01,1.250000000000000000e+00,5.565999999999999837e-01
1.258000000000000007e+00,5.502000000000000224e-01,1.200399999999999912e+00,5.775000000000000133e-01
1.250000000000000000e+00,5.548999999999999488e-01,1.229800000000000004e+00,5.618999999999999551e-01
1.238299999999999956e+00,5.585999999999999854e-01,1.195799999999999974e+00,5.786999999999999922e-01
1.237999999999999989e+00,5.570000000000000506e-01,1.203999999999999959e+00,5.742000000000000437e-01
1.232699999999999907e+00,5.661000000000000476e-01,1.182700000000000085e+00,5.835000000000000187e-01
1.208499999999999908e+00,5.704000000000000181e-01,1.172099999999999920e+00,5.865000000000000213e-01
1.202599999999999891e+00,5.737999999999999767e-01,1.149199999999999999e+00,5.915000000000000258e-01
1.195200000000000040e+00,5.806999999999999940e-01,1.160300000000000109e+00,5.880999999999999561e-01
1.180800000000000072e+00,5.807999999999999829e-01,1.137000000000000011e+00,6.028000000000000025e-01
1.169499999999999984e+00,5.858999999999999764e-01,1.131899999999999906e+00,6.010999999999999677e-01
1.159000000000000030e+00,5.914000000000000368e-01,1.125899999999999901e+00,6.009999999999999787e-01
1.157999999999999918e+00,5.910999999999999588e-01,1.093599999999999905e+00,6.106000000000000316e-01
1.145899999999999919e+00,5.928999999999999826e-01,1.112700000000000022e+00,6.078999999999999959e-01
1.149599999999999955e+00,5.956000000000000183e-01,1.101399999999999935e+00,6.100999999999999757e-01
1.131399999999999961e+00,5.996000000000000218e-01,1.088200000000000056e+00,6.179000000000000048e-01
1.116800000000000015e+00,6.058000000000000052e-01,1.083800000000000097e+00,6.180999999999999828e-01
1.122600000000000042e+00,6.035000000000000364e-01,1.083900000000000086e+00,6.198000000000000176e-01
1.106100000000000083e+00,6.089999999999999858e-01,1.037600000000000078e+00,6.358000000000000318e-01
1.103599999999999914e+00,6.105000000000000426e-01,1.063600000000000101e+00,6.220999999999999863e-01
